person_uuid,org_uuid,job_uuid,started_on,ended_on,is_current,title,job_role,executive_role,advisory_role
000ec1c0-05c4-451e-c622-fa1cabaefa4e,da0542f2-d366-5d20-6c4d-b182773d1d8b,65459b06-a162-d7ac-75e6-9431557cd3ce,,,f,SVP / General Counsel,t,t,f
000c0818-d1d0-448d-1f6a-e561c10334d7,bcd4a8ae-6fc2-1d08-8efb-e61732c93814,9152d6d4-ff82-5efe-41c6-089520dc6238,,,f,"Sales, Marketing & Operations (Transcrypt International)",t,f,f
000c0818-d1d0-448d-1f6a-e561c10334d7,8543cfe8-b6b1-0dd8-060a-e636c28fbf89,3cb82e84-7c82-74db-70e0-de5eeff0df6b,,,f,"Sales, Marketing & Operations",t,f,f
000c0818-d1d0-448d-1f6a-e561c10334d7,bcd4a8ae-6fc2-1d08-8efb-e61732c93814,cdf44376-1182-2bd6-de85-53c9e7f53fc0,,,f,"Sales, Marketing & Operations",t,f,f
000c0818-d1d0-448d-1f6a-e561c10334d7,1f2d7988-b461-f905-b8ab-c9a773063bd7,a01b23a3-b70d-c4be-3225-9bd098c7816f,,,f,Team Member,t,f,f
000d67ea-22f2-f543-f29b-9275f1f402ce,bbdfde21-132b-318a-8ecc-f04c2f368409,89f27924-b77a-675e-1d1c-474af7cf4c1d,,,t,Angel Investor,t,f,f
000d67ea-22f2-f543-f29b-9275f1f402ce,08c7f737-1be0-0086-4e37-e8f77efa19e7,c2e4a1d6-7380-3a92-fa93-97c9c5f1b307,,,t,CEO & Entrepreneur In Residency,t,t,f
00086d8c-20e6-7c59-aad0-55e8ddd768d2,1e4f199c-363b-451b-a164-f94571075ee5,274709ee-f4db-402b-83b3-c082c1985f76,,,f,Director of Worldwide Developer Relations,t,t,f
00086d8c-20e6-7c59-aad0-55e8ddd768d2,1e4f199c-363b-451b-a164-f94571075ee5,25dd032b-f856-0180-3344-54b7d941136e,,,f,Vice President of the Content group,t,t,f
00086d8c-20e6-7c59-aad0-55e8ddd768d2,1e4f199c-363b-451b-a164-f94571075ee5,5a824568-fe13-fa29-a1c0-7e24d4d47db3,,,f,General Manager,t,t,f
00086d8c-20e6-7c59-aad0-55e8ddd768d2,1e4f199c-363b-451b-a164-f94571075ee5,c49e8fe4-f5f7-c569-411d-053f1b6995d2,,,f,Director of Marketing,t,t,f
00086d8c-20e6-7c59-aad0-55e8ddd768d2,1e4f199c-363b-451b-a164-f94571075ee5,8c20110f-89e7-58a0-4cd2-9ee71bd8b17e,,,f,Vice President and General Manager of the Home Products,t,t,f
0009f5cb-b369-880a-9638-f4eece52f418,0c430e2d-0b76-258c-1d5e-b973cc3cd827,39c23d96-379c-0651-af13-b00d1806cabe,2008-11-02 00:00:00,,t,Founder / CTO,t,t,f
